x,v1,v2,v3
0,0,0,0
0.01,0.00444216,0.00887992,-0.0133089
0.02,0.00887993,0.0177248,-0.0264997
0.03,0.0133089,0.0264997,-0.0394553
0.04,0.0177248,0.03517,-0.0520607
0.05,0.0221232,0.0437016,-0.0642039
0.06,0.0264997,0.0520606,-0.0757773
0.07,0.0308501,0.0602143,-0.0866781
0.08,0.0351701,0.0681302,-0.0968096
0.09,0.0394553,0.0757773,-0.106082
0.1,0.0437016,0.0831254,-0.114412
0.11,0.0479048,0.0901453,-0.121727
0.12,0.0520607,0.0968096,-0.127962
0.13,0.0561652,0.103092,-0.133061
0.14,0.0602143,0.108967,-0.136978
0.15,0.0642039,0.114412,-0.13968
0.16,0.0681303,0.119406,-0.141142
0.17,0.0719893,0.123928,-0.141352
0.18,0.0757773,0.127962,-0.140306
0.19,0.0794906,0.13149,-0.138015
0.2,0.0831254,0.1345,-0.1345
0.21,0.0866781,0.136978,-0.12979
0.22,0.0901454,0.138916,-0.123928
0.23,0.0935236,0.140306,-0.116967
0.24,0.0968096,0.141142,-0.108967
0.25,0.1,0.141421,-0.1
0.26,0.103092,0.141142,-0.0901454
0.27,0.106082,0.140306,-0.0794906
0.28,0.108967,0.138916,-0.0681303
0.29,0.111745,0.136978,-0.0561652
0.3,0.114412,0.1345,-0.0437016
0.31,0.116967,0.13149,-0.0308501
0.32,0.119406,0.127962,-0.0177248
0.33,0.121727,0.123928,-0.00444215
0.34,0.123928,0.119406,0.00887993
0.35,0.126007,0.114412,0.0221232
0.36,0.127962,0.108967,0.0351701
0.37,0.12979,0.103092,0.0479048
0.38,0.13149,0.0968096,0.0602143
0.39,0.133061,0.0901454,0.0719893
0.4,0.1345,0.0831254,0.0831254
0.41,0.135806,0.0757774,0.0935236
0.42,0.136978,0.0681303,0.103092
0.43,0.138015,0.0602143,0.111745
0.44,0.138916,0.0520607,0.119406
0.45,0.13968,0.0437016,0.126007
0.46,0.140306,0.0351701,0.13149
0.47,0.140794,0.0264997,0.135806
0.48,0.141142,0.0177248,0.138916
0.49,0.141352,0.00887992,0.140794
0.5,0.141421,-1.12791e-08,0.141421
0.51,0.141352,-0.00887994,0.140794
0.52,0.141142,-0.0177248,0.138916
0.53,0.140794,-0.0264998,0.135806
0.54,0.140306,-0.0351701,0.13149
0.55,0.13968,-0.0437016,0.126007
0.56,0.138916,-0.0520607,0.119406
0.57,0.138015,-0.0602143,0.111745
0.58,0.136978,-0.0681303,0.103092
0.59,0.135806,-0.0757774,0.0935236
0.6,0.1345,-0.0831254,0.0831254
0.61,0.133061,-0.0901454,0.0719893
0.62,0.13149,-0.0968096,0.0602143
0.63,0.12979,-0.103092,0.0479048
0.64,0.127962,-0.108967,0.0351701
0.65,0.126007,-0.114412,0.0221232
0.66,0.123928,-0.119406,0.00887993
0.67,0.121727,-0.123928,-0.00444214
0.68,0.119406,-0.127962,-0.0177248
0.69,0.116967,-0.13149,-0.0308501
0.7,0.114412,-0.1345,-0.0437016
0.71,0.111745,-0.136978,-0.0561652
0.72,0.108967,-0.138916,-0.0681303
0.73,0.106082,-0.140306,-0.0794906
0.74,0.103092,-0.141142,-0.0901454
0.75,0.1,-0.141421,-0.1
0.76,0.0968096,-0.141142,-0.108967
0.77,0.0935236,-0.140306,-0.116967
0.78,0.0901454,-0.138916,-0.123928
0.79,0.0866782,-0.136978,-0.12979
0.8,0.0831254,-0.1345,-0.1345
0.81,0.0794906,-0.13149,-0.138015
0.82,0.0757774,-0.127962,-0.140306
0.83,0.0719893,-0.123929,-0.141352
0.84,0.0681303,-0.119406,-0.141142
0.85,0.064204,-0.114412,-0.13968
0.86,0.0602143,-0.108967,-0.136978
0.87,0.0561652,-0.103092,-0.133061
0.88,0.0520607,-0.0968096,-0.127962
0.89,0.0479048,-0.0901454,-0.121727
0.9,0.0437016,-0.0831254,-0.114412
0.91,0.0394553,-0.0757773,-0.106082
0.92,0.03517,-0.0681302,-0.0968096
0.93,0.0308501,-0.0602143,-0.0866782
0.94,0.0264997,-0.0520607,-0.0757774
0.95,0.0221232,-0.0437016,-0.064204
0.96,0.0177248,-0.0351701,-0.0520607
0.97,0.0133089,-0.0264997,-0.0394553
0.98,0.00887991,-0.0177248,-0.0264997
0.99,0.00444215,-0.00887992,-0.0133089
1,0,0,0
